0.042625	0
0.127875	0
0.213125	0
0.298375	0
0.383625	0
0.468875	0
0.554125	0
0.639375	0
0.724625	0
0.809875	0
0.895125	0
0.980375	0
1.06563	0
1.15088	0
1.23613	0
1.32138	0
1.40663	0
1.49188	0
1.57713	0
1.66238	0
1.74763	0
1.83288	0
1.91813	0
2.00338	0
2.08862	0
2.17388	0
2.25913	0
2.34438	0
2.42963	0
2.51487	0
2.60013	0
2.68538	0
2.77063	0
2.85588	0
2.94113	0
3.02638	0
3.11163	0
3.19688	0
3.28213	0
3.36738	-2.38798
3.45263	-1.38763
3.53788	-2.16018
3.62313	-2.55615
3.70838	-3.09678
3.79363	-2.75021
3.87888	-2.5194
3.96413	-1.20349
4.04938	0.115549
4.13463	0.360747
4.21988	1.2739
4.30513	4.14449
4.39038	7.01256
4.47562	11.3809
4.56088	15.2246
4.64613	16.619
4.73138	13.9537
4.81663	11.424
4.90188	7.48212
4.98713	3.37862
5.07238	-6.33549
5.15763	-9.48639
5.24288	-13.1838
5.32812	-18.1261
5.41338	-18.8718
5.49863	-16.4133
5.58388	-13.6154
5.66913	-7.53604
5.75438	-3.1056
5.83963	3.44684
5.92488	5.6611
6.01013	6.17125
6.09538	2.6751
6.18063	-0.881398
6.26588	-4.48921
6.35113	-4.34949
6.43638	-5.71964
6.52163	-4.23476
6.60688	-3.98126
6.69213	-1.99465
6.77738	-2.38458
6.86263	-0.230078
6.94788	0.5288
7.03313	1.88069
7.11838	1.85352
7.20363	0.671771
7.28888	-0.254469
7.37413	-0.376585
7.45938	0.494311
7.54463	2.68553
7.62988	5.13669
7.71513	7.23078
7.80038	9.73893
7.88563	8.89924
7.97088	7.35031
8.05612	4.03533
8.14138	0.524186
8.22663	-4.85855
8.31188	-8.87484
8.39713	-12.288
8.48238	-14.5852
